Date,Open,High,Low,Close,Volume
3-Oct-17,-,-,-,0.82,-
2-Oct-17,-,-,-,0.82,-
1-Oct-17,-,-,-,0.86,-
30-Sep-17,-,-,-,0.87,-
29-Sep-17,-,-,-,0.83,-
28-Sep-17,-,-,-,0.87,-
27-Sep-17,-,-,-,0.87,-
26-Sep-17,-,-,-,0.86,-
25-Sep-17,-,-,-,0.86,-
24-Sep-17,-,-,-,0.83,-
23-Sep-17,-,-,-,0.31,-
22-Sep-17,-,-,-,0.85,-
21-Sep-17,-,-,-,0.86,-
20-Sep-17,-,-,-,0.83,-
19-Sep-17,-,-,-,0.85,-
18-Sep-17,-,-,-,0.83,-
17-Sep-17,-,-,-,0.83,-
16-Sep-17,-,-,-,0.33,-
15-Sep-17,-,-,-,0.85,-
14-Sep-17,-,-,-,0.83,-
13-Sep-17,-,-,-,0.81,-
12-Sep-17,-,-,-,0.84,-
11-Sep-17,-,-,-,0.78,-
10-Sep-17,-,-,-,0.76,-
9-Sep-17,-,-,-,0.81,-
8-Sep-17,-,-,-,0.77,-
7-Sep-17,-,-,-,0.77,-
6-Sep-17,-,-,-,0.77,-
5-Sep-17,-,-,-,0.77,-
4-Sep-17,-,-,-,0.75,-
3-Sep-17,-,-,-,0.83,-
2-Sep-17,-,-,-,0.78,-
1-Sep-17,-,-,-,0.79,-
31-Aug-17,-,-,-,0.77,-
30-Aug-17,-,-,-,0.78,-
29-Aug-17,-,-,-,0.79,-
28-Aug-17,-,-,-,0.78,-
26-Aug-17,-,-,-,0.76,-
25-Aug-17,-,-,-,0.78,-
24-Aug-17,-,-,-,0.81,-
23-Aug-17,-,-,-,0.80,-
22-Aug-17,-,-,-,0.80,-
21-Aug-17,-,-,-,0.78,-
20-Aug-17,-,-,-,0.31,-
19-Aug-17,-,-,-,0.74,-
18-Aug-17,-,-,-,0.81,-
17-Aug-17,-,-,-,0.81,-
16-Aug-17,-,-,-,0.81,-
15-Aug-17,-,-,-,0.85,-
14-Aug-17,-,-,-,0.83,-
13-Aug-17,-,-,-,0.83,-
12-Aug-17,-,-,-,0.81,-
11-Aug-17,-,-,-,0.82,-
10-Aug-17,-,-,-,0.83,-
9-Aug-17,-,-,-,0.85,-
8-Aug-17,-,-,-,0.84,-
7-Aug-17,-,-,-,0.84,-
6-Aug-17,-,-,-,0.30,-
5-Aug-17,-,-,-,0.84,-
4-Aug-17,-,-,-,0.84,-
3-Aug-17,-,-,-,0.87,-
2-Aug-17,-,-,-,0.87,-
1-Aug-17,-,-,-,0.87,-
31-Jul-17,-,-,-,0.85,-
29-Jul-17,-,-,-,0.31,-
28-Jul-17,-,-,-,0.83,-
27-Jul-17,-,-,-,0.85,-
26-Jul-17,-,-,-,0.83,-
25-Jul-17,-,-,-,0.85,-
24-Jul-17,-,-,-,0.84,-
22-Jul-17,-,-,-,0.79,-
21-Jul-17,-,-,-,0.86,-
20-Jul-17,-,-,-,0.89,-
19-Jul-17,-,-,-,0.90,-
18-Jul-17,-,-,-,0.90,-
17-Jul-17,-,-,-,0.88,-
16-Jul-17,-,-,-,0.86,-
15-Jul-17,-,-,-,0.33,-
14-Jul-17,-,-,-,0.86,-
13-Jul-17,-,-,-,0.89,-
12-Jul-17,-,-,-,0.87,-
11-Jul-17,-,-,-,0.86,-
10-Jul-17,-,-,-,0.83,-
9-Jul-17,-,-,-,0.86,-
8-Jul-17,-,-,-,0.84,-
7-Jul-17,-,-,-,0.82,-
6-Jul-17,-,-,-,0.87,-
5-Jul-17,-,-,-,0.87,-
4-Jul-17,-,-,-,0.81,-
3-Jul-17,-,-,-,0.89,-
2-Jul-17,-,-,-,0.86,-
1-Jul-17,-,-,-,0.31,-
30-Jun-17,-,-,-,0.90,-
29-Jun-17,-,-,-,0.92,-
