Date,Open,High,Low,Close,Volume
3-Oct-17,-,-,-,1.47,-
2-Oct-17,-,-,-,1.49,-
1-Oct-17,-,-,-,1.50,-
30-Sep-17,-,-,-,1.50,-
29-Sep-17,-,-,-,1.50,-
28-Sep-17,-,-,-,1.51,-
27-Sep-17,-,-,-,1.52,-
26-Sep-17,-,-,-,1.52,-
25-Sep-17,-,-,-,1.52,-
24-Sep-17,-,-,-,1.53,-
23-Sep-17,-,-,-,1.53,-
22-Sep-17,-,-,-,1.54,-
21-Sep-17,-,-,-,1.54,-
20-Sep-17,-,-,-,1.54,-
19-Sep-17,-,-,-,1.54,-
18-Sep-17,-,-,-,1.53,-
17-Sep-17,-,-,-,1.52,-
16-Sep-17,-,-,-,1.50,-
15-Sep-17,-,-,-,1.49,-
14-Sep-17,-,-,-,1.47,-
13-Sep-17,-,-,-,1.46,-
12-Sep-17,-,-,-,1.45,-
11-Sep-17,-,-,-,1.42,-
10-Sep-17,-,-,-,1.37,-
9-Sep-17,-,-,-,1.38,-
8-Sep-17,-,-,-,1.39,-
7-Sep-17,-,-,-,1.40,-
6-Sep-17,-,-,-,1.40,-
5-Sep-17,-,-,-,1.41,-
4-Sep-17,-,-,-,1.44,-
3-Sep-17,-,-,-,1.50,-
2-Sep-17,-,-,-,1.49,-
1-Sep-17,-,-,-,1.48,-
31-Aug-17,-,-,-,1.48,-
30-Aug-17,-,-,-,1.48,-
29-Aug-17,-,-,-,1.48,-
28-Aug-17,-,-,-,1.49,-
27-Aug-17,-,-,-,1.46,-
26-Aug-17,-,-,-,1.48,-
25-Aug-17,-,-,-,1.48,-
24-Aug-17,-,-,-,1.49,-
23-Aug-17,-,-,-,1.50,-
22-Aug-17,-,-,-,1.51,-
21-Aug-17,-,-,-,1.51,-
20-Aug-17,-,-,-,1.54,-
19-Aug-17,-,-,-,1.55,-
18-Aug-17,-,-,-,1.55,-
17-Aug-17,-,-,-,1.56,-
16-Aug-17,-,-,-,1.56,-
15-Aug-17,-,-,-,1.57,-
14-Aug-17,-,-,-,1.58,-
13-Aug-17,-,-,-,1.59,-
12-Aug-17,-,-,-,1.59,-
11-Aug-17,-,-,-,1.59,-
10-Aug-17,-,-,-,1.60,-
9-Aug-17,-,-,-,1.60,-
8-Aug-17,-,-,-,1.61,-
7-Aug-17,-,-,-,1.60,-
6-Aug-17,-,-,-,1.59,-
5-Aug-17,-,-,-,1.59,-
4-Aug-17,-,-,-,1.59,-
3-Aug-17,-,-,-,1.59,-
2-Aug-17,-,-,-,1.58,-
1-Aug-17,-,-,-,1.57,-
31-Jul-17,-,-,-,1.57,-
30-Jul-17,-,-,-,1.56,-
29-Jul-17,-,-,-,1.56,-
28-Jul-17,-,-,-,1.55,-
27-Jul-17,-,-,-,1.54,-
26-Jul-17,-,-,-,1.53,-
25-Jul-17,-,-,-,1.53,-
24-Jul-17,-,-,-,1.53,-
23-Jul-17,-,-,-,1.53,-
22-Jul-17,-,-,-,1.53,-
21-Jul-17,-,-,-,1.53,-
20-Jul-17,-,-,-,1.54,-
19-Jul-17,-,-,-,1.55,-
18-Jul-17,-,-,-,1.55,-
17-Jul-17,-,-,-,1.55,-
16-Jul-17,-,-,-,1.55,-
15-Jul-17,-,-,-,1.56,-
14-Jul-17,-,-,-,1.57,-
13-Jul-17,-,-,-,1.57,-
12-Jul-17,-,-,-,1.58,-
11-Jul-17,-,-,-,1.55,-
10-Jul-17,-,-,-,1.45,-
9-Jul-17,-,-,-,1.39,-
8-Jul-17,-,-,-,1.38,-
7-Jul-17,-,-,-,1.37,-
6-Jul-17,-,-,-,1.35,-
5-Jul-17,-,-,-,1.33,-
4-Jul-17,-,-,-,1.35,-
3-Jul-17,-,-,-,1.45,-
2-Jul-17,-,-,-,1.50,-
1-Jul-17,-,-,-,1.51,-
30-Jun-17,-,-,-,1.52,-
29-Jun-17,-,-,-,1.54,-
28-Jun-17,-,-,-,1.56,-
27-Jun-17,-,-,-,1.57,-
26-Jun-17,-,-,-,1.58,-
25-Jun-17,-,-,-,1.58,-
24-Jun-17,-,-,-,1.56,-
23-Jun-17,-,-,-,1.56,-
22-Jun-17,-,-,-,1.55,-
21-Jun-17,-,-,-,1.53,-
20-Jun-17,-,-,-,1.52,-
19-Jun-17,-,-,-,1.51,-
18-Jun-17,-,-,-,1.50,-
17-Jun-17,-,-,-,1.51,-
16-Jun-17,-,-,-,1.50,-
15-Jun-17,-,-,-,1.51,-
14-Jun-17,-,-,-,1.51,-
13-Jun-17,-,-,-,1.51,-
12-Jun-17,-,-,-,1.52,-
11-Jun-17,-,-,-,1.53,-
10-Jun-17,-,-,-,1.53,-
9-Jun-17,-,-,-,1.54,-
8-Jun-17,-,-,-,1.54,-
7-Jun-17,-,-,-,1.54,-
6-Jun-17,-,-,-,1.55,-
5-Jun-17,-,-,-,1.54,-
4-Jun-17,-,-,-,1.46,-
3-Jun-17,-,-,-,1.45,-
2-Jun-17,-,-,-,1.44,-
1-Jun-17,-,-,-,1.42,-
31-May-17,-,-,-,1.41,-
30-May-17,-,-,-,1.40,-
29-May-17,-,-,-,1.40,-
28-May-17,-,-,-,1.46,-
27-May-17,-,-,-,1.48,-
26-May-17,-,-,-,1.48,-
25-May-17,-,-,-,1.49,-
24-May-17,-,-,-,1.49,-
23-May-17,-,-,-,1.49,-
22-May-17,-,-,-,1.49,-
21-May-17,-,-,-,1.50,-
20-May-17,-,-,-,1.49,-
19-May-17,-,-,-,1.49,-
18-May-17,-,-,-,1.48,-
17-May-17,-,-,-,1.48,-
16-May-17,-,-,-,1.48,-
15-May-17,-,-,-,1.49,-
14-May-17,-,-,-,1.48,-
13-May-17,-,-,-,1.50,-
12-May-17,-,-,-,1.50,-
11-May-17,-,-,-,1.51,-
10-May-17,-,-,-,1.51,-
9-May-17,-,-,-,1.51,-
8-May-17,-,-,-,1.50,-
7-May-17,-,-,-,1.50,-
6-May-17,-,-,-,1.49,-
5-May-17,-,-,-,1.48,-
4-May-17,-,-,-,1.48,-
3-May-17,-,-,-,1.48,-
