Date,Open,High,Low,Close,Volume
3-Oct-17,-,-,-,0.74,-
2-Oct-17,-,-,-,0.74,-
1-Oct-17,-,-,-,0.74,-
30-Sep-17,-,-,-,0.73,-
29-Sep-17,-,-,-,0.71,-
28-Sep-17,-,-,-,0.71,-
27-Sep-17,-,-,-,0.70,-
26-Sep-17,-,-,-,0.71,-
25-Sep-17,-,-,-,0.71,-
24-Sep-17,-,-,-,0.71,-
23-Sep-17,-,-,-,0.72,-
22-Sep-17,-,-,-,0.73,-
21-Sep-17,-,-,-,0.75,-
20-Sep-17,-,-,-,0.76,-
19-Sep-17,-,-,-,0.76,-
18-Sep-17,-,-,-,0.76,-
17-Sep-17,-,-,-,0.76,-
16-Sep-17,-,-,-,0.75,-
15-Sep-17,-,-,-,0.74,-
14-Sep-17,-,-,-,0.72,-
13-Sep-17,-,-,-,0.71,-
12-Sep-17,-,-,-,0.70,-
11-Sep-17,-,-,-,0.71,-
10-Sep-17,-,-,-,0.69,-
9-Sep-17,-,-,-,0.70,-
8-Sep-17,-,-,-,0.71,-
7-Sep-17,-,-,-,0.73,-
6-Sep-17,-,-,-,0.74,-
5-Sep-17,-,-,-,0.74,-
4-Sep-17,-,-,-,0.74,-
3-Sep-17,-,-,-,0.76,-
2-Sep-17,-,-,-,0.75,-
1-Sep-17,-,-,-,0.74,-
31-Aug-17,-,-,-,0.72,-
30-Aug-17,-,-,-,0.71,-
29-Aug-17,-,-,-,0.71,-
28-Aug-17,-,-,-,0.71,-
27-Aug-17,-,-,-,0.70,-
26-Aug-17,-,-,-,0.70,-
25-Aug-17,-,-,-,0.71,-
24-Aug-17,-,-,-,0.72,-
23-Aug-17,-,-,-,0.72,-
22-Aug-17,-,-,-,0.72,-
21-Aug-17,-,-,-,0.74,-
20-Aug-17,-,-,-,0.76,-
19-Aug-17,-,-,-,0.76,-
18-Aug-17,-,-,-,0.77,-
17-Aug-17,-,-,-,0.77,-
16-Aug-17,-,-,-,0.78,-
15-Aug-17,-,-,-,0.78,-
14-Aug-17,-,-,-,0.77,-
13-Aug-17,-,-,-,0.77,-
12-Aug-17,-,-,-,0.78,-
11-Aug-17,-,-,-,0.78,-
10-Aug-17,-,-,-,0.78,-
9-Aug-17,-,-,-,0.79,-
8-Aug-17,-,-,-,0.80,-
7-Aug-17,-,-,-,0.81,-
6-Aug-17,-,-,-,0.82,-
5-Aug-17,-,-,-,0.82,-
4-Aug-17,-,-,-,0.82,-
3-Aug-17,-,-,-,0.82,-
2-Aug-17,-,-,-,0.81,-
1-Aug-17,-,-,-,0.81,-
31-Jul-17,-,-,-,0.79,-
30-Jul-17,-,-,-,0.78,-
29-Jul-17,-,-,-,0.77,-
28-Jul-17,-,-,-,0.77,-
27-Jul-17,-,-,-,0.76,-
26-Jul-17,-,-,-,0.76,-
25-Jul-17,-,-,-,0.76,-
24-Jul-17,-,-,-,0.76,-
23-Jul-17,-,-,-,0.76,-
22-Jul-17,-,-,-,0.77,-
21-Jul-17,-,-,-,0.78,-
20-Jul-17,-,-,-,0.80,-
19-Jul-17,-,-,-,0.80,-
18-Jul-17,-,-,-,0.81,-
17-Jul-17,-,-,-,0.82,-
16-Jul-17,-,-,-,0.83,-
15-Jul-17,-,-,-,0.84,-
14-Jul-17,-,-,-,0.83,-
13-Jul-17,-,-,-,0.83,-
12-Jul-17,-,-,-,0.84,-
11-Jul-17,-,-,-,0.84,-
10-Jul-17,-,-,-,0.79,-
9-Jul-17,-,-,-,0.78,-
8-Jul-17,-,-,-,0.78,-
7-Jul-17,-,-,-,0.79,-
6-Jul-17,-,-,-,0.79,-
5-Jul-17,-,-,-,0.78,-
4-Jul-17,-,-,-,0.78,-
3-Jul-17,-,-,-,0.81,-
2-Jul-17,-,-,-,0.81,-
1-Jul-17,-,-,-,0.81,-
30-Jun-17,-,-,-,0.80,-
29-Jun-17,-,-,-,0.78,-
28-Jun-17,-,-,-,0.77,-
27-Jun-17,-,-,-,0.77,-
26-Jun-17,-,-,-,0.76,-
25-Jun-17,-,-,-,0.76,-
24-Jun-17,-,-,-,0.76,-
23-Jun-17,-,-,-,0.75,-
22-Jun-17,-,-,-,0.77,-
21-Jun-17,-,-,-,0.79,-
20-Jun-17,-,-,-,0.80,-
19-Jun-17,-,-,-,0.79,-
18-Jun-17,-,-,-,0.79,-
17-Jun-17,-,-,-,0.80,-
16-Jun-17,-,-,-,0.80,-
15-Jun-17,-,-,-,0.79,-
14-Jun-17,-,-,-,0.77,-
13-Jun-17,-,-,-,0.76,-
12-Jun-17,-,-,-,0.77,-
11-Jun-17,-,-,-,0.78,-
10-Jun-17,-,-,-,0.78,-
9-Jun-17,-,-,-,0.79,-
8-Jun-17,-,-,-,0.80,-
7-Jun-17,-,-,-,0.82,-
6-Jun-17,-,-,-,0.83,-
5-Jun-17,-,-,-,0.83,-
4-Jun-17,-,-,-,0.79,-
3-Jun-17,-,-,-,0.78,-
2-Jun-17,-,-,-,0.77,-
1-Jun-17,-,-,-,0.77,-
31-May-17,-,-,-,0.76,-
30-May-17,-,-,-,0.74,-
29-May-17,-,-,-,0.73,-
28-May-17,-,-,-,0.76,-
27-May-17,-,-,-,0.77,-
26-May-17,-,-,-,0.78,-
25-May-17,-,-,-,0.77,-
24-May-17,-,-,-,0.77,-
23-May-17,-,-,-,0.77,-
22-May-17,-,-,-,0.79,-
21-May-17,-,-,-,0.80,-
20-May-17,-,-,-,0.80,-
19-May-17,-,-,-,0.80,-
18-May-17,-,-,-,0.80,-
17-May-17,-,-,-,0.80,-
16-May-17,-,-,-,0.80,-
15-May-17,-,-,-,0.78,-
14-May-17,-,-,-,0.77,-
13-May-17,-,-,-,0.77,-
12-May-17,-,-,-,0.77,-
11-May-17,-,-,-,0.77,-
10-May-17,-,-,-,0.77,-
9-May-17,-,-,-,0.78,-
8-May-17,-,-,-,0.78,-
7-May-17,-,-,-,0.79,-
6-May-17,-,-,-,0.80,-
5-May-17,-,-,-,0.79,-
4-May-17,-,-,-,0.79,-
3-May-17,-,-,-,0.79,-
2-May-17,-,-,-,0.78,-
1-May-17,-,-,-,0.77,-
30-Apr-17,-,-,-,0.76,-
29-Apr-17,-,-,-,0.75,-
28-Apr-17,-,-,-,0.74,-
27-Apr-17,-,-,-,0.74,-
26-Apr-17,-,-,-,0.74,-
25-Apr-17,-,-,-,0.74,-
24-Apr-17,-,-,-,0.75,-
23-Apr-17,-,-,-,0.76,-
22-Apr-17,-,-,-,0.75,-
21-Apr-17,-,-,-,0.76,-
20-Apr-17,-,-,-,0.78,-
19-Apr-17,-,-,-,0.78,-
18-Apr-17,-,-,-,0.78,-
17-Apr-17,-,-,-,0.78,-
16-Apr-17,-,-,-,0.77,-
15-Apr-17,-,-,-,0.78,-
14-Apr-17,-,-,-,0.78,-
13-Apr-17,-,-,-,0.77,-
12-Apr-17,-,-,-,0.77,-
11-Apr-17,-,-,-,0.77,-
10-Apr-17,-,-,-,0.77,-
9-Apr-17,-,-,-,0.78,-
8-Apr-17,-,-,-,0.78,-
7-Apr-17,-,-,-,0.79,-
6-Apr-17,-,-,-,0.80,-
5-Apr-17,-,-,-,0.80,-
4-Apr-17,-,-,-,0.79,-
3-Apr-17,-,-,-,0.79,-
2-Apr-17,-,-,-,0.78,-
1-Apr-17,-,-,-,0.77,-
31-Mar-17,-,-,-,0.76,-
30-Mar-17,-,-,-,0.74,-
29-Mar-17,-,-,-,0.73,-
