Date,Open,High,Low,Close,Volume
3-Oct-17,-,-,-,1.48,-
2-Oct-17,-,-,-,1.47,-
1-Oct-17,-,-,-,1.47,-
30-Sep-17,-,-,-,1.46,-
29-Sep-17,-,-,-,1.44,-
28-Sep-17,-,-,-,1.45,-
27-Sep-17,-,-,-,1.45,-
26-Sep-17,-,-,-,1.45,-
25-Sep-17,-,-,-,1.44,-
24-Sep-17,-,-,-,1.44,-
23-Sep-17,-,-,-,1.43,-
22-Sep-17,-,-,-,1.44,-
21-Sep-17,-,-,-,1.44,-
20-Sep-17,-,-,-,1.44,-
19-Sep-17,-,-,-,1.44,-
18-Sep-17,-,-,-,1.44,-
17-Sep-17,-,-,-,1.42,-
16-Sep-17,-,-,-,1.41,-
15-Sep-17,-,-,-,1.40,-
14-Sep-17,-,-,-,1.39,-
13-Sep-17,-,-,-,1.37,-
12-Sep-17,-,-,-,1.36,-
11-Sep-17,-,-,-,1.38,-
10-Sep-17,-,-,-,1.39,-
9-Sep-17,-,-,-,1.42,-
8-Sep-17,-,-,-,1.44,-
7-Sep-17,-,-,-,1.48,-
6-Sep-17,-,-,-,1.51,-
5-Sep-17,-,-,-,1.53,-
4-Sep-17,-,-,-,1.53,-
3-Sep-17,-,-,-,1.54,-
2-Sep-17,-,-,-,1.52,-
1-Sep-17,-,-,-,1.52,-
31-Aug-17,-,-,-,1.50,-
30-Aug-17,-,-,-,1.50,-
29-Aug-17,-,-,-,1.52,-
28-Aug-17,-,-,-,1.53,-
27-Aug-17,-,-,-,1.51,-
26-Aug-17,-,-,-,1.53,-
25-Aug-17,-,-,-,1.55,-
24-Aug-17,-,-,-,1.57,-
23-Aug-17,-,-,-,1.58,-
22-Aug-17,-,-,-,1.57,-
21-Aug-17,-,-,-,1.58,-
20-Aug-17,-,-,-,1.61,-
19-Aug-17,-,-,-,1.62,-
18-Aug-17,-,-,-,1.62,-
17-Aug-17,-,-,-,1.62,-
16-Aug-17,-,-,-,1.62,-
15-Aug-17,-,-,-,1.62,-
14-Aug-17,-,-,-,1.64,-
13-Aug-17,-,-,-,1.65,-
12-Aug-17,-,-,-,1.66,-
11-Aug-17,-,-,-,1.68,-
10-Aug-17,-,-,-,1.70,-
9-Aug-17,-,-,-,1.72,-
8-Aug-17,-,-,-,1.74,-
7-Aug-17,-,-,-,1.76,-
6-Aug-17,-,-,-,1.77,-
5-Aug-17,-,-,-,1.77,-
4-Aug-17,-,-,-,1.78,-
3-Aug-17,-,-,-,1.77,-
2-Aug-17,-,-,-,1.76,-
1-Aug-17,-,-,-,1.76,-
31-Jul-17,-,-,-,1.75,-
30-Jul-17,-,-,-,1.75,-
29-Jul-17,-,-,-,1.74,-
28-Jul-17,-,-,-,1.74,-
27-Jul-17,-,-,-,1.74,-
26-Jul-17,-,-,-,1.73,-
25-Jul-17,-,-,-,1.73,-
24-Jul-17,-,-,-,1.72,-
23-Jul-17,-,-,-,1.71,-
22-Jul-17,-,-,-,1.71,-
21-Jul-17,-,-,-,1.71,-
20-Jul-17,-,-,-,1.72,-
19-Jul-17,-,-,-,1.73,-
18-Jul-17,-,-,-,1.73,-
17-Jul-17,-,-,-,1.73,-
16-Jul-17,-,-,-,1.75,-
15-Jul-17,-,-,-,1.76,-
14-Jul-17,-,-,-,1.78,-
13-Jul-17,-,-,-,1.79,-
12-Jul-17,-,-,-,1.79,-
11-Jul-17,-,-,-,1.80,-
10-Jul-17,-,-,-,1.77,-
9-Jul-17,-,-,-,1.76,-
8-Jul-17,-,-,-,1.76,-
7-Jul-17,-,-,-,1.76,-
6-Jul-17,-,-,-,1.75,-
5-Jul-17,-,-,-,1.74,-
4-Jul-17,-,-,-,1.72,-
3-Jul-17,-,-,-,1.74,-
2-Jul-17,-,-,-,1.74,-
1-Jul-17,-,-,-,1.73,-
30-Jun-17,-,-,-,1.72,-
29-Jun-17,-,-,-,1.71,-
28-Jun-17,-,-,-,1.72,-
27-Jun-17,-,-,-,1.73,-
26-Jun-17,-,-,-,1.74,-
25-Jun-17,-,-,-,1.73,-
24-Jun-17,-,-,-,1.70,-
23-Jun-17,-,-,-,1.69,-
22-Jun-17,-,-,-,1.69,-
21-Jun-17,-,-,-,1.69,-
20-Jun-17,-,-,-,1.69,-
19-Jun-17,-,-,-,1.68,-
18-Jun-17,-,-,-,1.69,-
17-Jun-17,-,-,-,1.71,-
16-Jun-17,-,-,-,1.72,-
15-Jun-17,-,-,-,1.73,-
14-Jun-17,-,-,-,1.72,-
13-Jun-17,-,-,-,1.71,-
12-Jun-17,-,-,-,1.71,-
11-Jun-17,-,-,-,1.71,-
10-Jun-17,-,-,-,1.71,-
9-Jun-17,-,-,-,1.73,-
8-Jun-17,-,-,-,1.72,-
7-Jun-17,-,-,-,1.74,-
6-Jun-17,-,-,-,1.76,-
5-Jun-17,-,-,-,1.77,-
4-Jun-17,-,-,-,1.73,-
3-Jun-17,-,-,-,1.71,-
2-Jun-17,-,-,-,1.68,-
1-Jun-17,-,-,-,1.67,-
31-May-17,-,-,-,1.64,-
30-May-17,-,-,-,1.61,-
29-May-17,-,-,-,1.59,-
28-May-17,-,-,-,1.61,-
27-May-17,-,-,-,1.62,-
26-May-17,-,-,-,1.62,-
25-May-17,-,-,-,1.61,-
24-May-17,-,-,-,1.61,-
23-May-17,-,-,-,1.61,-
22-May-17,-,-,-,1.61,-
21-May-17,-,-,-,1.62,-
20-May-17,-,-,-,1.59,-
19-May-17,-,-,-,1.58,-
18-May-17,-,-,-,1.57,-
17-May-17,-,-,-,1.57,-
16-May-17,-,-,-,1.56,-
15-May-17,-,-,-,1.54,-
14-May-17,-,-,-,1.53,-
13-May-17,-,-,-,1.55,-
12-May-17,-,-,-,1.56,-
11-May-17,-,-,-,1.57,-
10-May-17,-,-,-,1.58,-
9-May-17,-,-,-,1.59,-
8-May-17,-,-,-,1.61,-
7-May-17,-,-,-,1.64,-
6-May-17,-,-,-,1.65,-
5-May-17,-,-,-,1.65,-
4-May-17,-,-,-,1.66,-
3-May-17,-,-,-,1.64,-
2-May-17,-,-,-,1.63,-
1-May-17,-,-,-,1.62,-
30-Apr-17,-,-,-,1.59,-
29-Apr-17,-,-,-,1.59,-
28-Apr-17,-,-,-,1.58,-
27-Apr-17,-,-,-,1.57,-
26-Apr-17,-,-,-,1.57,-
25-Apr-17,-,-,-,1.58,-
24-Apr-17,-,-,-,1.58,-
23-Apr-17,-,-,-,1.58,-
22-Apr-17,-,-,-,1.55,-
21-Apr-17,-,-,-,1.54,-
20-Apr-17,-,-,-,1.53,-
19-Apr-17,-,-,-,1.52,-
18-Apr-17,-,-,-,1.51,-
17-Apr-17,-,-,-,1.51,-
16-Apr-17,-,-,-,1.50,-
15-Apr-17,-,-,-,1.52,-
14-Apr-17,-,-,-,1.53,-
13-Apr-17,-,-,-,1.54,-
12-Apr-17,-,-,-,1.56,-
11-Apr-17,-,-,-,1.57,-
10-Apr-17,-,-,-,1.57,-
9-Apr-17,-,-,-,1.60,-
8-Apr-17,-,-,-,1.61,-
7-Apr-17,-,-,-,1.62,-
6-Apr-17,-,-,-,1.63,-
5-Apr-17,-,-,-,1.63,-
4-Apr-17,-,-,-,1.63,-
3-Apr-17,-,-,-,1.63,-
2-Apr-17,-,-,-,1.62,-
1-Apr-17,-,-,-,1.60,-
31-Mar-17,-,-,-,1.59,-
30-Mar-17,-,-,-,1.57,-
29-Mar-17,-,-,-,1.56,-
28-Mar-17,-,-,-,1.55,-
27-Mar-17,-,-,-,1.55,-
26-Mar-17,-,-,-,1.54,-
25-Mar-17,-,-,-,1.54,-
24-Mar-17,-,-,-,1.54,-
23-Mar-17,-,-,-,1.53,-
22-Mar-17,-,-,-,1.53,-
21-Mar-17,-,-,-,1.52,-
20-Mar-17,-,-,-,1.50,-
19-Mar-17,-,-,-,1.49,-
18-Mar-17,-,-,-,1.49,-
17-Mar-17,-,-,-,1.49,-
16-Mar-17,-,-,-,1.50,-
15-Mar-17,-,-,-,1.52,-
14-Mar-17,-,-,-,1.52,-
13-Mar-17,-,-,-,1.53,-
12-Mar-17,-,-,-,1.53,-
11-Mar-17,-,-,-,1.55,-
10-Mar-17,-,-,-,1.56,-
9-Mar-17,-,-,-,1.57,-
8-Mar-17,-,-,-,1.58,-
7-Mar-17,-,-,-,1.60,-
6-Mar-17,-,-,-,1.60,-
5-Mar-17,-,-,-,1.60,-
4-Mar-17,-,-,-,1.60,-
3-Mar-17,-,-,-,1.60,-
2-Mar-17,-,-,-,1.58,-
1-Mar-17,-,-,-,1.57,-
28-Feb-17,-,-,-,1.55,-
27-Feb-17,-,-,-,1.54,-
26-Feb-17,-,-,-,1.55,-
25-Feb-17,-,-,-,1.54,-
24-Feb-17,-,-,-,1.54,-
23-Feb-17,-,-,-,1.55,-
22-Feb-17,-,-,-,1.54,-
21-Feb-17,-,-,-,1.52,-
20-Feb-17,-,-,-,1.48,-
19-Feb-17,-,-,-,1.45,-
18-Feb-17,-,-,-,1.44,-
17-Feb-17,-,-,-,1.44,-
16-Feb-17,-,-,-,1.43,-
15-Feb-17,-,-,-,1.43,-
14-Feb-17,-,-,-,1.43,-
13-Feb-17,-,-,-,1.45,-
12-Feb-17,-,-,-,1.46,-
11-Feb-17,-,-,-,1.45,-
10-Feb-17,-,-,-,1.46,-
9-Feb-17,-,-,-,1.49,-
8-Feb-17,-,-,-,1.50,-
7-Feb-17,-,-,-,1.52,-
6-Feb-17,-,-,-,1.53,-
5-Feb-17,-,-,-,1.54,-
4-Feb-17,-,-,-,1.55,-
3-Feb-17,-,-,-,1.54,-
2-Feb-17,-,-,-,1.52,-
1-Feb-17,-,-,-,1.51,-
31-Jan-17,-,-,-,1.49,-
30-Jan-17,-,-,-,1.48,-
29-Jan-17,-,-,-,1.48,-
28-Jan-17,-,-,-,1.47,-
27-Jan-17,-,-,-,1.46,-
26-Jan-17,-,-,-,1.45,-
25-Jan-17,-,-,-,1.45,-
24-Jan-17,-,-,-,1.46,-
23-Jan-17,-,-,-,1.48,-
22-Jan-17,-,-,-,1.48,-
21-Jan-17,-,-,-,1.48,-
20-Jan-17,-,-,-,1.49,-
19-Jan-17,-,-,-,1.49,-
18-Jan-17,-,-,-,1.50,-
17-Jan-17,-,-,-,1.48,-
16-Jan-17,-,-,-,1.46,-
15-Jan-17,-,-,-,1.46,-
14-Jan-17,-,-,-,1.46,-
13-Jan-17,-,-,-,1.45,-
12-Jan-17,-,-,-,1.46,-
11-Jan-17,-,-,-,1.46,-
10-Jan-17,-,-,-,1.47,-
9-Jan-17,-,-,-,1.49,-
8-Jan-17,-,-,-,1.50,-
7-Jan-17,-,-,-,1.46,-
6-Jan-17,-,-,-,1.43,-
5-Jan-17,-,-,-,1.41,-
4-Jan-17,-,-,-,1.39,-
3-Jan-17,-,-,-,1.37,-
2-Jan-17,-,-,-,1.33,-
1-Jan-17,-,-,-,1.28,-
31-Dec-16,-,-,-,1.24,-
30-Dec-16,-,-,-,1.19,-
29-Dec-16,-,-,-,1.16,-
28-Dec-16,-,-,-,1.13,-
27-Dec-16,-,-,-,1.09,-
26-Dec-16,-,-,-,1.07,-
25-Dec-16,-,-,-,1.07,-
24-Dec-16,-,-,-,1.11,-
23-Dec-16,-,-,-,1.15,-
22-Dec-16,-,-,-,1.17,-
21-Dec-16,-,-,-,1.16,-
20-Dec-16,-,-,-,1.18,-
19-Dec-16,-,-,-,1.18,-
18-Dec-16,-,-,-,1.19,-
17-Dec-16,-,-,-,1.20,-
16-Dec-16,-,-,-,1.21,-
15-Dec-16,-,-,-,1.21,-
14-Dec-16,-,-,-,1.22,-
13-Dec-16,-,-,-,1.22,-
12-Dec-16,-,-,-,1.23,-
11-Dec-16,-,-,-,1.25,-
10-Dec-16,-,-,-,1.26,-
9-Dec-16,-,-,-,1.29,-
8-Dec-16,-,-,-,1.31,-
7-Dec-16,-,-,-,1.32,-
6-Dec-16,-,-,-,1.33,-
5-Dec-16,-,-,-,1.33,-
4-Dec-16,-,-,-,1.32,-
3-Dec-16,-,-,-,1.30,-
2-Dec-16,-,-,-,1.27,-
1-Dec-16,-,-,-,1.22,-
30-Nov-16,-,-,-,1.15,-
29-Nov-16,-,-,-,1.11,-
28-Nov-16,-,-,-,1.09,-
27-Nov-16,-,-,-,1.07,-
26-Nov-16,-,-,-,1.07,-
25-Nov-16,-,-,-,1.08,-
24-Nov-16,-,-,-,1.12,-
23-Nov-16,-,-,-,1.19,-
22-Nov-16,-,-,-,1.23,-
21-Nov-16,-,-,-,1.25,-
20-Nov-16,-,-,-,1.27,-
19-Nov-16,-,-,-,1.28,-
18-Nov-16,-,-,-,1.30,-
17-Nov-16,-,-,-,1.29,-
16-Nov-16,-,-,-,1.29,-
15-Nov-16,-,-,-,1.23,-
14-Nov-16,-,-,-,1.21,-
13-Nov-16,-,-,-,1.22,-
12-Nov-16,-,-,-,1.22,-
11-Nov-16,-,-,-,1.22,-
10-Nov-16,-,-,-,1.26,-
9-Nov-16,-,-,-,1.27,-
8-Nov-16,-,-,-,1.34,-
7-Nov-16,-,-,-,1.38,-
6-Nov-16,-,-,-,1.37,-
5-Nov-16,-,-,-,1.36,-
4-Nov-16,-,-,-,1.35,-
3-Nov-16,-,-,-,1.33,-
2-Nov-16,-,-,-,1.33,-
1-Nov-16,-,-,-,1.31,-
31-Oct-16,-,-,-,1.30,-
30-Oct-16,-,-,-,1.31,-
29-Oct-16,-,-,-,1.32,-
28-Oct-16,-,-,-,1.33,-
27-Oct-16,-,-,-,1.32,-
26-Oct-16,-,-,-,1.33,-
25-Oct-16,-,-,-,1.34,-
24-Oct-16,-,-,-,1.35,-
23-Oct-16,-,-,-,1.36,-
22-Oct-16,-,-,-,1.36,-
21-Oct-16,-,-,-,1.36,-
20-Oct-16,-,-,-,1.36,-
19-Oct-16,-,-,-,1.37,-
18-Oct-16,-,-,-,1.37,-
17-Oct-16,-,-,-,1.36,-
16-Oct-16,-,-,-,1.36,-
15-Oct-16,-,-,-,1.35,-
14-Oct-16,-,-,-,1.34,-
13-Oct-16,-,-,-,1.34,-
12-Oct-16,-,-,-,1.33,-
11-Oct-16,-,-,-,1.34,-
10-Oct-16,-,-,-,1.34,-
9-Oct-16,-,-,-,1.37,-
8-Oct-16,-,-,-,1.38,-
7-Oct-16,-,-,-,1.41,-
6-Oct-16,-,-,-,1.42,-
5-Oct-16,-,-,-,1.44,-
4-Oct-16,-,-,-,1.43,-
3-Oct-16,-,-,-,1.43,-
2-Oct-16,-,-,-,1.41,-
1-Oct-16,-,-,-,1.41,-
30-Sep-16,-,-,-,1.40,-
29-Sep-16,-,-,-,1.39,-
28-Sep-16,-,-,-,1.38,-
27-Sep-16,-,-,-,1.38,-
26-Sep-16,-,-,-,1.39,-
25-Sep-16,-,-,-,1.39,-
24-Sep-16,-,-,-,1.40,-
23-Sep-16,-,-,-,1.42,-
22-Sep-16,-,-,-,1.43,-
21-Sep-16,-,-,-,1.43,-
20-Sep-16,-,-,-,1.44,-
19-Sep-16,-,-,-,1.44,-
18-Sep-16,-,-,-,1.43,-
17-Sep-16,-,-,-,1.42,-
16-Sep-16,-,-,-,1.41,-
15-Sep-16,-,-,-,1.42,-
14-Sep-16,-,-,-,1.43,-
13-Sep-16,-,-,-,1.43,-
12-Sep-16,-,-,-,1.46,-
11-Sep-16,-,-,-,1.46,-
10-Sep-16,-,-,-,1.48,-
9-Sep-16,-,-,-,1.50,-
8-Sep-16,-,-,-,1.51,-
7-Sep-16,-,-,-,1.53,-
6-Sep-16,-,-,-,1.55,-
5-Sep-16,-,-,-,1.54,-
4-Sep-16,-,-,-,1.57,-
3-Sep-16,-,-,-,1.58,-
2-Sep-16,-,-,-,1.59,-
1-Sep-16,-,-,-,1.59,-
31-Aug-16,-,-,-,1.59,-
30-Aug-16,-,-,-,1.59,-
29-Aug-16,-,-,-,1.61,-
28-Aug-16,-,-,-,1.60,-
27-Aug-16,-,-,-,1.61,-
26-Aug-16,-,-,-,1.60,-
25-Aug-16,-,-,-,1.60,-
24-Aug-16,-,-,-,1.61,-
23-Aug-16,-,-,-,1.61,-
22-Aug-16,-,-,-,1.60,-
21-Aug-16,-,-,-,1.60,-
20-Aug-16,-,-,-,1.60,-
19-Aug-16,-,-,-,1.60,-
18-Aug-16,-,-,-,1.60,-
17-Aug-16,-,-,-,1.61,-
16-Aug-16,-,-,-,1.61,-
15-Aug-16,-,-,-,1.61,-
14-Aug-16,-,-,-,1.61,-
13-Aug-16,-,-,-,1.62,-
12-Aug-16,-,-,-,1.62,-
11-Aug-16,-,-,-,1.63,-
10-Aug-16,-,-,-,1.63,-
9-Aug-16,-,-,-,1.65,-
8-Aug-16,-,-,-,1.66,-
7-Aug-16,-,-,-,1.68,-
6-Aug-16,-,-,-,1.70,-
5-Aug-16,-,-,-,1.72,-
4-Aug-16,-,-,-,1.73,-
3-Aug-16,-,-,-,1.71,-
2-Aug-16,-,-,-,1.72,-
1-Aug-16,-,-,-,1.71,-
31-Jul-16,-,-,-,1.70,-
30-Jul-16,-,-,-,1.69,-
29-Jul-16,-,-,-,1.68,-
28-Jul-16,-,-,-,1.67,-
27-Jul-16,-,-,-,1.68,-
26-Jul-16,-,-,-,1.68,-
25-Jul-16,-,-,-,1.68,-
24-Jul-16,-,-,-,1.69,-
23-Jul-16,-,-,-,1.69,-
22-Jul-16,-,-,-,1.68,-
21-Jul-16,-,-,-,1.68,-
20-Jul-16,-,-,-,1.68,-
19-Jul-16,-,-,-,1.67,-
18-Jul-16,-,-,-,1.67,-
17-Jul-16,-,-,-,1.66,-
16-Jul-16,-,-,-,1.65,-
15-Jul-16,-,-,-,1.66,-
14-Jul-16,-,-,-,1.68,-
13-Jul-16,-,-,-,1.67,-
12-Jul-16,-,-,-,1.68,-
11-Jul-16,-,-,-,1.70,-
10-Jul-16,-,-,-,1.66,-
9-Jul-16,-,-,-,1.65,-
8-Jul-16,-,-,-,1.66,-
7-Jul-16,-,-,-,1.66,-
6-Jul-16,-,-,-,1.66,-
5-Jul-16,-,-,-,1.65,-
4-Jul-16,-,-,-,1.65,-
3-Jul-16,-,-,-,1.67,-
2-Jul-16,-,-,-,1.68,-
1-Jul-16,-,-,-,1.67,-
30-Jun-16,-,-,-,1.66,-
29-Jun-16,-,-,-,1.64,-
28-Jun-16,-,-,-,1.64,-
27-Jun-16,-,-,-,1.63,-
26-Jun-16,-,-,-,1.62,-
25-Jun-16,-,-,-,1.59,-
24-Jun-16,-,-,-,1.58,-
23-Jun-16,-,-,-,1.57,-
22-Jun-16,-,-,-,1.56,-
21-Jun-16,-,-,-,1.56,-
20-Jun-16,-,-,-,1.55,-
19-Jun-16,-,-,-,1.55,-
18-Jun-16,-,-,-,1.57,-
17-Jun-16,-,-,-,1.57,-
16-Jun-16,-,-,-,1.58,-
15-Jun-16,-,-,-,1.58,-
14-Jun-16,-,-,-,1.58,-
13-Jun-16,-,-,-,1.59,-
12-Jun-16,-,-,-,1.60,-
11-Jun-16,-,-,-,1.62,-
10-Jun-16,-,-,-,1.63,-
9-Jun-16,-,-,-,1.65,-
8-Jun-16,-,-,-,1.68,-
7-Jun-16,-,-,-,1.70,-
6-Jun-16,-,-,-,1.71,-
5-Jun-16,-,-,-,1.69,-
4-Jun-16,-,-,-,1.66,-
3-Jun-16,-,-,-,1.65,-
2-Jun-16,-,-,-,1.62,-
1-Jun-16,-,-,-,1.60,-
31-May-16,-,-,-,1.57,-
30-May-16,-,-,-,1.56,-
29-May-16,-,-,-,1.57,-
28-May-16,-,-,-,1.59,-
27-May-16,-,-,-,1.59,-
26-May-16,-,-,-,1.59,-
25-May-16,-,-,-,1.59,-
24-May-16,-,-,-,1.59,-
23-May-16,-,-,-,1.59,-
22-May-16,-,-,-,1.59,-
21-May-16,-,-,-,1.58,-
20-May-16,-,-,-,1.59,-
19-May-16,-,-,-,1.58,-
18-May-16,-,-,-,1.59,-
17-May-16,-,-,-,1.59,-
16-May-16,-,-,-,1.59,-
15-May-16,-,-,-,1.60,-
14-May-16,-,-,-,1.58,-
13-May-16,-,-,-,1.56,-
12-May-16,-,-,-,1.56,-
11-May-16,-,-,-,1.55,-
10-May-16,-,-,-,1.55,-
9-May-16,-,-,-,1.55,-
8-May-16,-,-,-,1.56,-
7-May-16,-,-,-,1.59,-
6-May-16,-,-,-,1.62,-
5-May-16,-,-,-,1.62,-
4-May-16,-,-,-,1.62,-
3-May-16,-,-,-,1.61,-
2-May-16,-,-,-,1.60,-
1-May-16,-,-,-,1.58,-
30-Apr-16,-,-,-,1.56,-
29-Apr-16,-,-,-,1.55,-
28-Apr-16,-,-,-,1.54,-
27-Apr-16,-,-,-,1.53,-
26-Apr-16,-,-,-,1.51,-
25-Apr-16,-,-,-,1.52,-
24-Apr-16,-,-,-,1.52,-
23-Apr-16,-,-,-,1.53,-
22-Apr-16,-,-,-,1.53,-
21-Apr-16,-,-,-,1.54,-
20-Apr-16,-,-,-,1.55,-
19-Apr-16,-,-,-,1.56,-
18-Apr-16,-,-,-,1.56,-
17-Apr-16,-,-,-,1.57,-
16-Apr-16,-,-,-,1.56,-
15-Apr-16,-,-,-,1.57,-
14-Apr-16,-,-,-,1.57,-
13-Apr-16,-,-,-,1.58,-
12-Apr-16,-,-,-,1.59,-
11-Apr-16,-,-,-,1.60,-
10-Apr-16,-,-,-,1.62,-
9-Apr-16,-,-,-,1.64,-
8-Apr-16,-,-,-,1.65,-
7-Apr-16,-,-,-,1.67,-
6-Apr-16,-,-,-,1.68,-
5-Apr-16,-,-,-,1.67,-
4-Apr-16,-,-,-,1.66,-
3-Apr-16,-,-,-,1.65,-
2-Apr-16,-,-,-,1.61,-
1-Apr-16,-,-,-,1.57,-
31-Mar-16,-,-,-,1.54,-
30-Mar-16,-,-,-,1.52,-
29-Mar-16,-,-,-,1.51,-
28-Mar-16,-,-,-,1.49,-
27-Mar-16,-,-,-,1.48,-
26-Mar-16,-,-,-,1.50,-
25-Mar-16,-,-,-,1.50,-
24-Mar-16,-,-,-,1.50,-
23-Mar-16,-,-,-,1.50,-
22-Mar-16,-,-,-,1.49,-
21-Mar-16,-,-,-,1.49,-
20-Mar-16,-,-,-,1.49,-
19-Mar-16,-,-,-,1.49,-
18-Mar-16,-,-,-,1.49,-
17-Mar-16,-,-,-,1.50,-
16-Mar-16,-,-,-,1.50,-
15-Mar-16,-,-,-,1.50,-
14-Mar-16,-,-,-,1.50,-
13-Mar-16,-,-,-,1.50,-
12-Mar-16,-,-,-,1.50,-
11-Mar-16,-,-,-,1.52,-
10-Mar-16,-,-,-,1.52,-
9-Mar-16,-,-,-,1.54,-
8-Mar-16,-,-,-,1.55,-
7-Mar-16,-,-,-,1.57,-
6-Mar-16,-,-,-,1.58,-
5-Mar-16,-,-,-,1.58,-
4-Mar-16,-,-,-,1.57,-
3-Mar-16,-,-,-,1.57,-
2-Mar-16,-,-,-,1.56,-
1-Mar-16,-,-,-,1.55,-
29-Feb-16,-,-,-,1.53,-
28-Feb-16,-,-,-,1.52,-
27-Feb-16,-,-,-,1.53,-
26-Feb-16,-,-,-,1.53,-
25-Feb-16,-,-,-,1.53,-
24-Feb-16,-,-,-,1.53,-
23-Feb-16,-,-,-,1.53,-
22-Feb-16,-,-,-,1.53,-
21-Feb-16,-,-,-,1.51,-
20-Feb-16,-,-,-,1.47,-
19-Feb-16,-,-,-,1.44,-
18-Feb-16,-,-,-,1.44,-
17-Feb-16,-,-,-,1.43,-
16-Feb-16,-,-,-,1.42,-
