Date,Open,High,Low,Close,Volume
3-Oct-17,-,-,-,0.89,-
2-Oct-17,-,-,-,0.85,-
1-Oct-17,-,-,-,0.73,-
30-Sep-17,-,-,-,0.73,-
29-Sep-17,-,-,-,0.74,-
28-Sep-17,-,-,-,0.74,-
27-Sep-17,-,-,-,0.74,-
26-Sep-17,-,-,-,0.74,-
25-Sep-17,-,-,-,0.74,-
24-Sep-17,-,-,-,0.74,-
23-Sep-17,-,-,-,0.74,-
22-Sep-17,-,-,-,0.74,-
21-Sep-17,-,-,-,0.74,-
20-Sep-17,-,-,-,0.75,-
19-Sep-17,-,-,-,0.75,-
18-Sep-17,-,-,-,0.76,-
17-Sep-17,-,-,-,0.76,-
16-Sep-17,-,-,-,0.76,-
15-Sep-17,-,-,-,0.76,-
14-Sep-17,-,-,-,0.76,-
13-Sep-17,-,-,-,0.77,-
12-Sep-17,-,-,-,0.77,-
11-Sep-17,-,-,-,0.77,-
10-Sep-17,-,-,-,0.79,-
9-Sep-17,-,-,-,0.80,-
8-Sep-17,-,-,-,0.82,-
7-Sep-17,-,-,-,0.82,-
6-Sep-17,-,-,-,0.82,-
5-Sep-17,-,-,-,0.82,-
4-Sep-17,-,-,-,0.82,-
3-Sep-17,-,-,-,0.81,-
2-Sep-17,-,-,-,0.80,-
1-Sep-17,-,-,-,0.80,-
31-Aug-17,-,-,-,0.79,-
30-Aug-17,-,-,-,0.80,-
29-Aug-17,-,-,-,0.80,-
28-Aug-17,-,-,-,0.81,-
27-Aug-17,-,-,-,0.80,-
26-Aug-17,-,-,-,0.81,-
25-Aug-17,-,-,-,0.83,-
24-Aug-17,-,-,-,0.84,-
23-Aug-17,-,-,-,0.86,-
22-Aug-17,-,-,-,0.86,-
21-Aug-17,-,-,-,0.87,-
20-Aug-17,-,-,-,0.89,-
19-Aug-17,-,-,-,0.89,-
18-Aug-17,-,-,-,0.89,-
17-Aug-17,-,-,-,0.90,-
16-Aug-17,-,-,-,0.89,-
15-Aug-17,-,-,-,0.90,-
14-Aug-17,-,-,-,0.90,-
13-Aug-17,-,-,-,0.91,-
12-Aug-17,-,-,-,0.92,-
11-Aug-17,-,-,-,0.93,-
10-Aug-17,-,-,-,0.94,-
9-Aug-17,-,-,-,0.94,-
8-Aug-17,-,-,-,0.94,-
7-Aug-17,-,-,-,0.94,-
6-Aug-17,-,-,-,0.95,-
5-Aug-17,-,-,-,0.95,-
4-Aug-17,-,-,-,0.95,-
3-Aug-17,-,-,-,0.95,-
2-Aug-17,-,-,-,0.95,-
1-Aug-17,-,-,-,0.96,-
31-Jul-17,-,-,-,0.96,-
30-Jul-17,-,-,-,0.96,-
29-Jul-17,-,-,-,0.96,-
28-Jul-17,-,-,-,0.97,-
27-Jul-17,-,-,-,0.97,-
26-Jul-17,-,-,-,0.97,-
25-Jul-17,-,-,-,0.97,-
24-Jul-17,-,-,-,0.97,-
23-Jul-17,-,-,-,0.98,-
22-Jul-17,-,-,-,0.98,-
21-Jul-17,-,-,-,0.98,-
20-Jul-17,-,-,-,0.98,-
19-Jul-17,-,-,-,0.98,-
18-Jul-17,-,-,-,0.99,-
17-Jul-17,-,-,-,0.98,-
16-Jul-17,-,-,-,0.99,-
15-Jul-17,-,-,-,0.99,-
14-Jul-17,-,-,-,1.00,-
13-Jul-17,-,-,-,1.00,-
12-Jul-17,-,-,-,1.01,-
11-Jul-17,-,-,-,1.01,-
10-Jul-17,-,-,-,1.02,-
9-Jul-17,-,-,-,1.02,-
8-Jul-17,-,-,-,1.02,-
7-Jul-17,-,-,-,1.03,-
6-Jul-17,-,-,-,1.03,-
5-Jul-17,-,-,-,1.02,-
4-Jul-17,-,-,-,1.02,-
3-Jul-17,-,-,-,1.01,-
2-Jul-17,-,-,-,1.01,-
1-Jul-17,-,-,-,1.00,-
30-Jun-17,-,-,-,1.00,-
29-Jun-17,-,-,-,0.99,-
28-Jun-17,-,-,-,0.98,-
27-Jun-17,-,-,-,0.99,-
26-Jun-17,-,-,-,0.99,-
25-Jun-17,-,-,-,0.99,-
24-Jun-17,-,-,-,0.98,-
23-Jun-17,-,-,-,0.97,-
22-Jun-17,-,-,-,0.97,-
21-Jun-17,-,-,-,0.97,-
20-Jun-17,-,-,-,0.96,-
19-Jun-17,-,-,-,0.95,-
18-Jun-17,-,-,-,0.94,-
17-Jun-17,-,-,-,0.95,-
16-Jun-17,-,-,-,0.94,-
15-Jun-17,-,-,-,0.94,-
14-Jun-17,-,-,-,0.93,-
13-Jun-17,-,-,-,0.93,-
12-Jun-17,-,-,-,0.94,-
11-Jun-17,-,-,-,0.93,-
10-Jun-17,-,-,-,0.92,-
9-Jun-17,-,-,-,0.92,-
8-Jun-17,-,-,-,0.91,-
7-Jun-17,-,-,-,0.91,-
6-Jun-17,-,-,-,0.91,-
5-Jun-17,-,-,-,0.90,-
4-Jun-17,-,-,-,0.92,-
3-Jun-17,-,-,-,0.92,-
2-Jun-17,-,-,-,0.93,-
1-Jun-17,-,-,-,0.94,-
31-May-17,-,-,-,0.94,-
30-May-17,-,-,-,0.94,-
29-May-17,-,-,-,0.93,-
28-May-17,-,-,-,0.92,-
27-May-17,-,-,-,0.90,-
26-May-17,-,-,-,0.89,-
25-May-17,-,-,-,0.88,-
24-May-17,-,-,-,0.87,-
23-May-17,-,-,-,0.86,-
22-May-17,-,-,-,0.86,-
21-May-17,-,-,-,0.85,-
20-May-17,-,-,-,0.84,-
19-May-17,-,-,-,0.84,-
18-May-17,-,-,-,0.83,-
17-May-17,-,-,-,0.82,-
16-May-17,-,-,-,0.82,-
