Date,Open,High,Low,Close,Volume
3-Oct-17,-,-,-,0.93,-
2-Oct-17,-,-,-,0.92,-
1-Oct-17,-,-,-,0.92,-
30-Sep-17,-,-,-,0.90,-
29-Sep-17,-,-,-,0.89,-
28-Sep-17,-,-,-,0.89,-
27-Sep-17,-,-,-,0.90,-
26-Sep-17,-,-,-,0.90,-
25-Sep-17,-,-,-,0.92,-
24-Sep-17,-,-,-,0.93,-
23-Sep-17,-,-,-,0.94,-
22-Sep-17,-,-,-,0.95,-
21-Sep-17,-,-,-,0.96,-
20-Sep-17,-,-,-,0.98,-
19-Sep-17,-,-,-,1.00,-
18-Sep-17,-,-,-,1.01,-
17-Sep-17,-,-,-,0.99,-
16-Sep-17,-,-,-,1.00,-
15-Sep-17,-,-,-,0.98,-
14-Sep-17,-,-,-,0.97,-
13-Sep-17,-,-,-,0.96,-
12-Sep-17,-,-,-,0.96,-
11-Sep-17,-,-,-,0.97,-
10-Sep-17,-,-,-,0.91,-
9-Sep-17,-,-,-,0.90,-
8-Sep-17,-,-,-,0.91,-
7-Sep-17,-,-,-,0.93,-
6-Sep-17,-,-,-,0.92,-
5-Sep-17,-,-,-,0.92,-
4-Sep-17,-,-,-,0.90,-
3-Sep-17,-,-,-,0.97,-
2-Sep-17,-,-,-,0.96,-
1-Sep-17,-,-,-,0.95,-
31-Aug-17,-,-,-,0.92,-
30-Aug-17,-,-,-,0.91,-
29-Aug-17,-,-,-,0.89,-
28-Aug-17,-,-,-,0.89,-
27-Aug-17,-,-,-,0.87,-
26-Aug-17,-,-,-,0.88,-
25-Aug-17,-,-,-,0.89,-
24-Aug-17,-,-,-,0.89,-
23-Aug-17,-,-,-,0.90,-
22-Aug-17,-,-,-,0.90,-
21-Aug-17,-,-,-,0.90,-
20-Aug-17,-,-,-,0.93,-
19-Aug-17,-,-,-,0.94,-
18-Aug-17,-,-,-,0.94,-
17-Aug-17,-,-,-,0.95,-
16-Aug-17,-,-,-,0.95,-
15-Aug-17,-,-,-,0.96,-
14-Aug-17,-,-,-,0.96,-
13-Aug-17,-,-,-,0.97,-
12-Aug-17,-,-,-,0.98,-
11-Aug-17,-,-,-,0.98,-
10-Aug-17,-,-,-,0.98,-
9-Aug-17,-,-,-,1.00,-
8-Aug-17,-,-,-,1.01,-
7-Aug-17,-,-,-,1.01,-
6-Aug-17,-,-,-,1.00,-
5-Aug-17,-,-,-,1.00,-
4-Aug-17,-,-,-,1.00,-
3-Aug-17,-,-,-,0.99,-
2-Aug-17,-,-,-,0.98,-
1-Aug-17,-,-,-,0.98,-
31-Jul-17,-,-,-,0.97,-
30-Jul-17,-,-,-,0.98,-
29-Jul-17,-,-,-,0.98,-
28-Jul-17,-,-,-,1.00,-
27-Jul-17,-,-,-,1.00,-
26-Jul-17,-,-,-,1.01,-
25-Jul-17,-,-,-,1.01,-
24-Jul-17,-,-,-,1.00,-
23-Jul-17,-,-,-,1.00,-
22-Jul-17,-,-,-,0.99,-
21-Jul-17,-,-,-,0.99,-
20-Jul-17,-,-,-,0.99,-
19-Jul-17,-,-,-,0.99,-
18-Jul-17,-,-,-,1.00,-
17-Jul-17,-,-,-,1.01,-
16-Jul-17,-,-,-,1.03,-
15-Jul-17,-,-,-,1.04,-
14-Jul-17,-,-,-,1.04,-
13-Jul-17,-,-,-,1.05,-
12-Jul-17,-,-,-,1.07,-
11-Jul-17,-,-,-,1.08,-
10-Jul-17,-,-,-,1.00,-
9-Jul-17,-,-,-,0.97,-
8-Jul-17,-,-,-,0.97,-
7-Jul-17,-,-,-,0.97,-
6-Jul-17,-,-,-,0.96,-
5-Jul-17,-,-,-,0.93,-
4-Jul-17,-,-,-,0.90,-
3-Jul-17,-,-,-,0.97,-
2-Jul-17,-,-,-,0.99,-
1-Jul-17,-,-,-,0.97,-
30-Jun-17,-,-,-,0.96,-
29-Jun-17,-,-,-,0.96,-
28-Jun-17,-,-,-,0.96,-
27-Jun-17,-,-,-,0.96,-
26-Jun-17,-,-,-,0.96,-
